year,region,crop_production_index,crop_yield_tons_ha,agricultural_loss_pct,irrigation_coverage_pct
1994,Bihar,87.1,2.14,13.5,44.0
1994,Jharkhand,95.9,2.24,15.3,47.3
1994,Odisha,96.3,2.45,21.3,46.8
1994,Chhattisgarh,96.3,2.44,8.3,50.4
1994,Madhya Pradesh,88.4,2.29,10.8,39.6
1994,Rajasthan,100.1,2.57,5.6,52.4
1994,Gujarat,95.4,2.45,11.9,49.9
1994,Maharashtra,98.8,2.51,11.4,53.0
1994,Karnataka,95.6,2.62,6.9,60.2
1994,Andhra Pradesh,89.6,2.08,15.0,39.7
1994,Telangana,99.2,2.48,16.0,43.4
1994,Tamil Nadu,93.7,2.46,23.2,68.3
1994,Kerala,99.1,2.43,8.8,43.6
1994,West Bengal,91.7,2.27,21.8,40.8
1994,Assam,93.3,2.19,4.7,50.1
1994,Uttar Pradesh,92.7,2.53,15.6,31.9
1994,Haryana,98.0,2.35,9.6,48.5
1994,Punjab,96.3,2.43,10.8,47.2
1994,Uttarakhand,93.2,2.4,12.9,36.7
1994,Goa,97.0,2.59,5.8,46.9
1995,Bihar,109.8,2.38,0.0,81.9
1995,Jharkhand,96.2,2.33,10.0,39.5
1995,Odisha,100.1,2.5,1.5,61.1
1995,Chhattisgarh,103.9,2.29,6.8,70.1
1995,Madhya Pradesh,106.0,2.15,2.0,64.9
1995,Rajasthan,94.4,2.22,9.3,60.9
1995,Gujarat,95.9,2.3,14.8,41.0
1995,Maharashtra,92.1,2.32,17.5,55.0
1995,Karnataka,96.1,2.61,2.0,69.2
1995,Andhra Pradesh,104.7,2.77,3.2,73.6
1995,Telangana,101.1,2.76,0.0,56.0
1995,Tamil Nadu,98.0,2.17,14.6,52.5
1995,Kerala,106.0,2.41,0.0,72.3
1995,West Bengal,98.0,2.5,10.7,53.6
1995,Assam,104.0,2.75,0.0,75.9
1995,Uttar Pradesh,97.3,2.44,9.0,74.8
1995,Haryana,98.5,2.34,1.5,65.9
1995,Punjab,104.3,2.58,3.2,66.6
1995,Uttarakhand,97.9,2.3,0.4,38.1
1995,Goa,96.0,2.45,11.6,51.8
1996,Bihar,100.8,2.5,0.2,63.6
1996,Jharkhand,96.4,2.49,0.0,51.5
1996,Odisha,107.5,2.78,0.0,77.6
1996,Chhattisgarh,95.4,2.33,13.5,55.8
1996,Madhya Pradesh,99.6,2.59,0.0,65.0
1996,Rajasthan,104.6,2.6,0.0,64.3
1996,Gujarat,98.8,2.37,0.0,52.6
1996,Maharashtra,100.1,2.49,0.0,55.3
1996,Karnataka,90.2,2.27,6.5,44.5
1996,Andhra Pradesh,106.5,2.28,0.0,56.7
1996,Telangana,96.9,2.55,10.1,61.9
1996,Tamil Nadu,107.5,2.66,0.0,82.3
1996,Kerala,95.9,2.11,14.1,79.0
1996,West Bengal,96.2,2.62,14.4,64.2
1996,Assam,105.0,2.33,7.9,63.1
1996,Uttar Pradesh,105.6,2.38,0.0,76.3
1996,Haryana,109.3,2.61,4.4,64.8
1996,Punjab,100.4,2.48,4.5,62.4
1996,Uttarakhand,110.6,2.63,0.0,76.0
1996,Goa,98.7,2.54,1.9,53.3
1997,Bihar,92.4,2.61,11.9,54.6
1997,Jharkhand,95.3,2.46,4.9,27.4
1997,Odisha,93.5,2.24,11.2,45.1
1997,Chhattisgarh,100.7,2.53,12.3,57.5
1997,Madhya Pradesh,99.0,2.66,7.2,55.8
1997,Rajasthan,94.4,2.41,11.6,46.6
1997,Gujarat,96.4,2.51,17.7,45.9
1997,Maharashtra,91.1,2.35,13.1,37.2
1997,Karnataka,93.9,2.61,4.5,33.0
1997,Andhra Pradesh,86.5,2.21,12.4,35.0
1997,Telangana,90.4,2.32,32.2,45.7
1997,Tamil Nadu,93.3,2.39,4.1,49.0
1997,Kerala,94.6,2.41,10.6,43.3
1997,West Bengal,94.9,2.51,6.0,38.7
1997,Assam,97.8,2.48,4.5,68.4
1997,Uttar Pradesh,91.6,2.66,11.3,35.9
1997,Haryana,97.0,2.41,20.1,30.3
1997,Punjab,95.1,2.42,9.9,52.4
1997,Uttarakhand,97.5,2.56,11.0,63.1
1997,Goa,92.7,2.12,11.1,57.1
1998,Bihar,90.6,2.08,14.3,34.3
1998,Jharkhand,97.5,2.3,4.6,50.5
1998,Odisha,92.9,2.29,16.4,58.0
1998,Chhattisgarh,92.4,2.22,11.3,49.4
1998,Madhya Pradesh,91.3,2.09,7.9,36.2
1998,Rajasthan,87.4,2.3,1.2,46.7
1998,Gujarat,98.7,2.32,13.9,55.8
1998,Maharashtra,92.7,2.46,3.8,50.0
1998,Karnataka,93.7,2.59,9.3,56.3
1998,Andhra Pradesh,90.3,2.05,10.7,42.9
1998,Telangana,94.0,2.29,5.2,34.5
1998,Tamil Nadu,97.3,2.4,18.3,54.1
1998,Kerala,101.1,2.56,15.6,51.1
1998,West Bengal,92.8,2.3,10.8,40.7
1998,Assam,91.5,2.56,11.3,59.5
1998,Uttar Pradesh,89.0,2.35,19.6,36.7
1998,Haryana,93.3,2.57,0.2,35.3
1998,Punjab,94.8,2.35,3.7,37.5
1998,Uttarakhand,92.2,2.54,5.4,56.7
1998,Goa,92.0,2.45,22.8,60.7
1999,Bihar,102.5,2.5,0.0,63.0
1999,Jharkhand,95.5,2.18,0.0,73.4
1999,Odisha,105.5,2.67,0.0,58.4
1999,Chhattisgarh,104.9,2.37,12.3,57.2
1999,Madhya Pradesh,98.0,2.55,0.9,57.7
1999,Rajasthan,97.6,2.43,3.3,60.5
1999,Gujarat,100.3,2.79,4.4,62.3
1999,Maharashtra,106.7,2.64,5.0,57.7
1999,Karnataka,105.3,2.31,2.2,77.7
1999,Andhra Pradesh,107.0,2.77,0.0,94.1
1999,Telangana,103.4,2.71,3.3,53.8
1999,Tamil Nadu,99.7,2.56,20.5,54.3
1999,Kerala,108.0,2.61,0.0,72.7
1999,West Bengal,100.5,2.67,0.0,70.9
1999,Assam,98.8,2.2,7.7,56.5
1999,Uttar Pradesh,90.1,2.4,16.3,45.1
1999,Haryana,104.5,2.54,4.9,53.8
1999,Punjab,102.9,2.65,0.0,83.2
1999,Uttarakhand,93.9,2.34,13.2,58.5
1999,Goa,96.6,2.24,7.1,56.7
2000,Bihar,102.6,2.61,13.3,78.0
2000,Jharkhand,107.7,2.53,12.9,65.1
2000,Odisha,93.5,2.18,8.1,64.3
2000,Chhattisgarh,94.9,2.43,12.8,50.8
2000,Madhya Pradesh,98.0,2.34,3.4,50.7
2000,Rajasthan,101.5,2.62,0.0,64.9
2000,Gujarat,94.7,2.62,6.8,40.4
2000,Maharashtra,96.3,2.66,4.8,66.8
2000,Karnataka,96.7,2.57,8.9,56.0
2000,Andhra Pradesh,97.6,2.43,0.0,53.0
2000,Telangana,99.2,2.45,0.0,65.4
2000,Tamil Nadu,99.8,2.65,0.0,62.2
2000,Kerala,97.2,2.43,0.0,51.1
2000,West Bengal,99.8,2.67,11.4,48.2
2000,Assam,101.1,2.54,0.2,67.3
2000,Uttar Pradesh,99.6,2.65,0.0,70.6
2000,Haryana,95.0,2.65,4.7,59.0
2000,Punjab,104.8,2.52,0.0,81.3
2000,Uttarakhand,105.7,2.3,6.0,73.5
2000,Goa,99.9,2.55,4.4,46.9
2001,Bihar,102.8,2.7,0.0,73.2
2001,Jharkhand,103.2,2.96,0.0,72.1
2001,Odisha,104.3,2.5,0.9,41.9
2001,Chhattisgarh,105.4,2.34,0.0,80.7
2001,Madhya Pradesh,99.9,2.3,1.8,68.4
2001,Rajasthan,104.8,2.45,0.0,66.6
2001,Gujarat,107.5,2.9,0.0,66.4
2001,Maharashtra,101.1,3.01,0.0,68.9
2001,Karnataka,107.4,2.63,0.0,62.4
2001,Andhra Pradesh,101.3,2.47,0.0,57.1
2001,Telangana,101.4,2.24,6.1,61.8
2001,Tamil Nadu,101.9,2.64,7.5,57.8
2001,Kerala,101.2,2.56,4.4,67.7
2001,West Bengal,98.2,2.5,9.4,48.2
2001,Assam,101.4,2.66,4.8,58.5
