year,region,oni_value,rainfall_deviation,temperature_anomaly,drought_index
1994,Bihar,1.68,-0.564,0.285,0.759
1994,Jharkhand,1.54,0.107,0.217,0.424
1994,Odisha,1.24,-0.292,0.206,0.581
1994,Chhattisgarh,1.43,-0.467,-0.05,0.673
1994,Madhya Pradesh,1.91,-0.266,0.21,0.702
1994,Rajasthan,0.49,-0.174,0.072,0.467
1994,Gujarat,0.95,0.007,0.104,0.51
1994,Maharashtra,0.78,0.029,-0.031,0.413
1994,Karnataka,0.71,-0.405,0.136,0.396
1994,Andhra Pradesh,2.0,-0.819,0.247,0.788
1994,Telangana,0.89,-0.079,0.115,0.585
1994,Tamil Nadu,1.88,-0.349,-0.144,0.55
1994,Kerala,1.01,-0.276,-0.041,0.493
1994,West Bengal,1.58,0.058,0.026,0.407
1994,Assam,1.41,-0.223,-0.018,0.6
1994,Uttar Pradesh,2.28,-0.277,0.101,0.809
1994,Haryana,1.27,0.248,-0.12,0.351
1994,Punjab,0.27,-0.055,-0.147,0.23
1994,Uttarakhand,1.82,0.128,0.115,0.478
1994,Goa,0.99,-0.234,-0.214,0.436
1995,Bihar,-0.9,0.107,-0.424,0.0
1995,Jharkhand,1.18,-0.474,0.046,0.65
1995,Odisha,0.18,0.277,0.045,0.306
1995,Chhattisgarh,-0.81,-0.212,0.173,0.247
1995,Madhya Pradesh,-0.43,0.034,-0.085,0.243
1995,Rajasthan,1.18,-0.637,0.267,0.572
1995,Gujarat,1.2,-0.048,0.261,0.459
1995,Maharashtra,1.26,0.031,-0.214,0.476
1995,Karnataka,-0.74,0.204,0.172,0.21
1995,Andhra Pradesh,-1.47,0.663,-0.044,0.032
1995,Telangana,-0.32,0.163,0.174,0.113
1995,Tamil Nadu,0.49,0.18,0.15,0.57
1995,Kerala,-1.48,-0.016,-0.031,0.133
1995,West Bengal,0.41,0.008,0.139,0.289
1995,Assam,-1.79,-0.12,-0.44,0.0
1995,Uttar Pradesh,-0.13,-0.232,-0.129,0.179
1995,Haryana,-0.3,-0.504,0.161,0.294
1995,Punjab,-0.47,-0.372,0.176,0.27
1995,Uttarakhand,0.66,-0.353,0.119,0.467
1995,Goa,0.68,-0.391,0.124,0.44
1996,Bihar,-0.02,0.433,0.017,0.268
1996,Jharkhand,-0.43,0.201,-0.096,0.289
1996,Odisha,-2.5,0.212,0.284,0.0
1996,Chhattisgarh,0.33,-0.257,0.206,0.564
1996,Madhya Pradesh,0.01,0.468,-0.072,0.113
1996,Rajasthan,-1.55,-0.015,-0.074,0.053
1996,Gujarat,0.04,0.605,-0.014,0.154
1996,Maharashtra,0.52,0.144,0.01,0.284
1996,Karnataka,0.87,0.244,0.019,0.418
1996,Andhra Pradesh,-0.01,0.485,-0.245,0.226
1996,Telangana,0.21,-0.205,0.272,0.31
1996,Tamil Nadu,-1.34,0.335,-0.268,0.0
1996,Kerala,0.18,-0.187,-0.068,0.5
1996,West Bengal,-0.35,-0.281,0.088,0.356
1996,Assam,-0.07,-0.107,0.364,0.294
1996,Uttar Pradesh,-1.55,0.228,-0.305,0.0
1996,Haryana,-0.77,-0.279,0.105,0.275
1996,Punjab,-0.55,-0.061,0.114,0.38
1996,Uttarakhand,-2.06,0.019,-0.348,0.0
1996,Goa,-0.38,0.251,-0.033,0.263
1997,Bihar,1.44,0.122,-0.341,0.342
1997,Jharkhand,1.83,-0.331,0.202,0.656
1997,Odisha,1.56,0.045,0.484,0.576
1997,Chhattisgarh,0.95,0.114,0.204,0.464
1997,Madhya Pradesh,0.73,0.395,0.404,0.467
1997,Rajasthan,1.47,-0.244,0.477,0.659
1997,Gujarat,1.81,-0.154,-0.213,0.589
1997,Maharashtra,2.27,-0.011,0.155,0.519
1997,Karnataka,1.26,-0.116,0.155,0.398
1997,Andhra Pradesh,2.23,-1.136,0.257,1.0
1997,Telangana,2.64,-0.386,0.562,0.764
1997,Tamil Nadu,2.05,-0.297,0.219,0.668
1997,Kerala,1.08,0.087,-0.182,0.405
1997,West Bengal,1.49,-0.29,0.099,0.579
1997,Assam,-0.0,-0.511,-0.167,0.346
1997,Uttar Pradesh,1.73,-0.229,0.109,0.765
1997,Haryana,1.83,-0.462,0.344,0.783
1997,Punjab,1.4,0.355,0.078,0.481
1997,Uttarakhand,0.81,-0.148,0.253,0.538
1997,Goa,1.73,-1.354,-0.206,0.875
1998,Bihar,2.47,-0.331,-0.003,0.726
1998,Jharkhand,1.63,-0.06,-0.069,0.453
1998,Odisha,1.72,-0.069,-0.143,0.606
1998,Chhattisgarh,1.96,-0.258,0.183,0.728
1998,Madhya Pradesh,1.95,-0.179,-0.091,0.773
1998,Rajasthan,1.7,-0.161,0.218,0.649
1998,Gujarat,1.2,-0.034,-0.01,0.487
1998,Maharashtra,1.04,-0.414,-0.024,0.593
1998,Karnataka,1.59,-0.115,0.151,0.606
1998,Andhra Pradesh,2.37,-0.378,0.15,0.619
1998,Telangana,1.65,-0.292,0.218,0.612
1998,Tamil Nadu,1.98,-0.242,0.027,0.768
1998,Kerala,0.84,0.084,-0.204,0.33
1998,West Bengal,2.18,-0.435,0.245,0.615
1998,Assam,1.35,-0.832,-0.071,0.643
1998,Uttar Pradesh,2.53,-1.076,-0.198,0.84
1998,Haryana,1.66,-0.418,0.273,0.644
1998,Punjab,0.91,-0.395,0.564,0.695
1998,Uttarakhand,1.04,-0.112,0.157,0.521
1998,Goa,1.87,-0.322,0.456,0.745
1999,Bihar,-1.26,0.043,-0.017,0.092
1999,Jharkhand,-0.35,-0.162,-0.558,0.142
1999,Odisha,-0.92,0.295,0.072,0.045
1999,Chhattisgarh,-0.18,0.198,0.109,0.389
1999,Madhya Pradesh,-0.34,-0.417,0.166,0.485
1999,Rajasthan,0.6,-0.061,0.207,0.357
1999,Gujarat,-0.5,0.187,-0.165,0.19
1999,Maharashtra,-0.15,0.098,-0.277,0.255
1999,Karnataka,-1.46,0.021,-0.348,0.0
1999,Andhra Pradesh,-2.42,0.259,-0.43,0.0
1999,Telangana,-0.81,-0.047,-0.069,0.032
1999,Tamil Nadu,0.5,0.006,0.122,0.56
1999,Kerala,-1.03,0.847,-0.017,0.0
1999,West Bengal,-0.5,-0.077,-0.122,0.215
1999,Assam,0.8,0.168,-0.239,0.469
1999,Uttar Pradesh,0.78,-0.977,-0.001,0.596
1999,Haryana,-0.63,0.234,-0.425,0.344
1999,Punjab,-0.66,0.308,-0.002,0.204
1999,Uttarakhand,1.58,0.061,0.321,0.528
1999,Goa,0.32,0.175,-0.028,0.221
2000,Bihar,-0.73,0.218,-0.337,0.291
2000,Jharkhand,-0.28,-0.076,0.271,0.261
2000,Odisha,0.59,-0.077,-0.21,0.268
2000,Chhattisgarh,1.48,-0.659,0.04,0.824
2000,Madhya Pradesh,0.06,0.044,-0.118,0.298
2000,Rajasthan,-0.65,-0.089,0.213,0.253
2000,Gujarat,0.52,-0.677,-0.295,0.534
2000,Maharashtra,-0.54,0.405,0.197,0.121
2000,Karnataka,0.4,-0.566,-0.154,0.625
2000,Andhra Pradesh,0.24,0.083,-0.294,0.247
2000,Telangana,-0.51,0.119,-0.204,0.084
2000,Tamil Nadu,0.07,-0.015,-0.285,0.188
2000,Kerala,-0.3,-0.442,-0.493,0.438
2000,West Bengal,0.06,0.063,0.32,0.189
2000,Assam,-0.37,-0.059,0.028,0.23
2000,Uttar Pradesh,0.26,-0.025,0.173,0.462
2000,Haryana,-0.08,0.007,0.05,0.394
