year,region,malnutrition_pct,food_security_index,infant_mortality_rate,stunting_pct
1994,Bihar,35.4,75.5,49.6,43.6
1994,Jharkhand,33.3,78.0,49.6,39.5
1994,Odisha,33.0,76.0,46.8,43.6
1994,Chhattisgarh,31.9,85.4,46.6,38.5
1994,Madhya Pradesh,31.8,90.0,39.6,41.1
1994,Rajasthan,31.9,85.8,36.2,32.3
1994,Gujarat,31.6,81.4,39.1,34.7
1994,Maharashtra,27.9,85.5,32.9,30.6
1994,Karnataka,26.7,85.0,36.9,34.5
1994,Andhra Pradesh,33.1,82.3,48.4,36.9
1994,Telangana,28.7,79.5,39.1,32.2
1994,Tamil Nadu,33.1,76.8,31.5,37.5
1994,Kerala,21.4,86.1,36.3,37.1
1994,West Bengal,37.1,75.1,47.5,41.1
1994,Assam,35.4,86.1,41.9,37.7
1994,Uttar Pradesh,29.6,89.6,50.9,38.9
1994,Haryana,29.2,94.0,39.0,35.8
1994,Punjab,28.5,84.1,37.1,36.8
1994,Uttarakhand,30.5,85.6,50.1,41.2
1994,Goa,19.4,88.5,31.9,29.6
1995,Bihar,38.1,82.5,42.1,38.0
1995,Jharkhand,32.1,81.7,45.3,37.5
1995,Odisha,29.8,95.0,49.4,38.1
1995,Chhattisgarh,26.8,83.9,43.5,37.0
1995,Madhya Pradesh,29.1,86.8,34.2,36.1
1995,Rajasthan,32.7,93.1,46.6,38.2
1995,Gujarat,33.1,83.0,45.4,38.5
1995,Maharashtra,29.3,77.7,40.6,32.9
1995,Karnataka,33.3,77.3,38.0,36.5
1995,Andhra Pradesh,28.4,90.1,36.7,33.9
1995,Telangana,27.8,93.6,39.8,37.7
1995,Tamil Nadu,29.8,91.7,32.9,31.2
1995,Kerala,22.2,94.9,38.3,30.2
1995,West Bengal,33.0,82.9,42.2,40.1
1995,Assam,31.4,95.0,41.0,39.1
1995,Uttar Pradesh,27.5,86.2,39.1,39.4
1995,Haryana,26.0,91.1,39.6,36.5
1995,Punjab,31.6,95.0,37.7,32.4
1995,Uttarakhand,23.6,86.9,37.8,39.0
1995,Goa,30.3,81.6,36.5,40.0
1996,Bihar,28.2,89.8,48.7,39.0
1996,Jharkhand,34.8,90.6,41.0,33.1
1996,Odisha,28.9,88.3,45.6,37.0
1996,Chhattisgarh,36.9,80.4,49.3,39.0
1996,Madhya Pradesh,27.1,93.7,32.1,33.1
1996,Rajasthan,29.7,92.6,42.2,36.1
1996,Gujarat,27.2,90.7,39.9,31.5
1996,Maharashtra,27.5,85.1,39.8,28.7
1996,Karnataka,32.4,95.0,36.4,33.4
1996,Andhra Pradesh,25.3,94.1,40.8,28.4
1996,Telangana,24.8,88.2,36.4,36.3
1996,Tamil Nadu,23.9,91.6,38.9,30.0
1996,Kerala,26.7,76.7,35.8,32.1
1996,West Bengal,31.4,82.0,45.5,33.2
1996,Assam,26.9,87.6,46.4,35.1
1996,Uttar Pradesh,27.0,75.7,45.3,36.6
1996,Haryana,27.9,93.9,42.5,30.4
1996,Punjab,29.4,77.9,34.5,30.1
1996,Uttarakhand,28.2,87.0,34.3,33.5
1996,Goa,20.1,94.2,34.4,27.4
1997,Bihar,30.9,75.7,47.4,40.7
1997,Jharkhand,34.9,90.4,40.1,32.9
1997,Odisha,29.9,92.8,51.2,42.4
1997,Chhattisgarh,32.7,75.1,43.3,36.3
1997,Madhya Pradesh,27.0,87.7,42.3,32.7
1997,Rajasthan,28.2,83.0,39.0,33.4
1997,Gujarat,28.7,77.8,42.2,37.8
1997,Maharashtra,31.5,81.4,37.9,36.9
1997,Karnataka,23.7,86.6,40.8,34.9
1997,Andhra Pradesh,31.3,89.5,49.4,36.6
1997,Telangana,33.1,82.4,40.7,38.1
1997,Tamil Nadu,25.2,80.2,38.9,34.1
1997,Kerala,29.6,87.5,29.4,26.6
1997,West Bengal,27.7,86.4,47.7,35.9
1997,Assam,27.9,81.9,43.9,31.7
1997,Uttar Pradesh,33.2,77.0,40.8,40.1
1997,Haryana,29.5,79.2,39.7,33.8
1997,Punjab,31.9,94.7,39.7,35.6
1997,Uttarakhand,30.0,84.1,40.9,26.0
1997,Goa,26.1,95.0,36.7,33.7
1998,Bihar,37.8,80.4,44.7,40.7
1998,Jharkhand,32.9,77.3,44.9,40.4
1998,Odisha,39.5,87.4,43.9,40.9
1998,Chhattisgarh,32.7,84.4,46.2,37.5
1998,Madhya Pradesh,31.8,82.5,41.3,39.4
1998,Rajasthan,30.4,90.7,46.8,37.0
1998,Gujarat,27.3,89.7,43.2,36.2
1998,Maharashtra,28.9,95.0,34.3,38.8
