year,region,oni_value,rainfall_deviation,temperature_anomaly,drought_index,crop_production_index,crop_yield_tons_ha,agricultural_loss_pct,irrigation_coverage_pct,malnutrition_pct,food_security_index,infant_mortality_rate,stunting_pct,risk_score
1994,Bihar,1.68,-0.564,0.285,0.759,87.1,2.14,13.5,44.0,35.4,75.5,49.6,43.6,64.5
1994,Jharkhand,1.54,0.107,0.217,0.424,95.9,2.24,15.3,47.3,33.3,78.0,49.6,39.5,55.4
1994,Odisha,1.24,-0.292,0.206,0.581,96.3,2.45,21.3,46.8,33.0,76.0,46.8,43.6,56.6
1994,Chhattisgarh,1.43,-0.467,-0.05,0.673,96.3,2.44,8.3,50.4,31.9,85.4,46.6,38.5,53.7
1994,Madhya Pradesh,1.91,-0.266,0.21,0.702,88.4,2.29,10.8,39.6,31.8,90.0,39.6,41.1,56.6
1994,Rajasthan,0.49,-0.174,0.072,0.467,100.1,2.57,5.6,52.4,31.9,85.8,36.2,32.3,37.3
1994,Gujarat,0.95,0.007,0.104,0.51,95.4,2.45,11.9,49.9,31.6,81.4,39.1,34.7,49.9
1994,Maharashtra,0.78,0.029,-0.031,0.413,98.8,2.51,11.4,53.0,27.9,85.5,32.9,30.6,43.2
1994,Karnataka,0.71,-0.405,0.136,0.396,95.6,2.62,6.9,60.2,26.7,85.0,36.9,34.5,39.9
1994,Andhra Pradesh,2.0,-0.819,0.247,0.788,89.6,2.08,15.0,39.7,33.1,82.3,48.4,36.9,65.4
1994,Telangana,0.89,-0.079,0.115,0.585,99.2,2.48,16.0,43.4,28.7,79.5,39.1,32.2,45.8
1994,Tamil Nadu,1.88,-0.349,-0.144,0.55,93.7,2.46,23.2,68.3,33.1,76.8,31.5,37.5,54.8
1994,Kerala,1.01,-0.276,-0.041,0.493,99.1,2.43,8.8,43.6,21.4,86.1,36.3,37.1,43.5
1994,West Bengal,1.58,0.058,0.026,0.407,91.7,2.27,21.8,40.8,37.1,75.1,47.5,41.1,54.7
1994,Assam,1.41,-0.223,-0.018,0.6,93.3,2.19,4.7,50.1,35.4,86.1,41.9,37.7,48.1
1994,Uttar Pradesh,2.28,-0.277,0.101,0.809,92.7,2.53,15.6,31.9,29.6,89.6,50.9,38.9,59.4
1994,Haryana,1.27,0.248,-0.12,0.351,98.0,2.35,9.6,48.5,29.2,94.0,39.0,35.8,40.3
1994,Punjab,0.27,-0.055,-0.147,0.23,96.3,2.43,10.8,47.2,28.5,84.1,37.1,36.8,35.1
1994,Uttarakhand,1.82,0.128,0.115,0.478,93.2,2.4,12.9,36.7,30.5,85.6,50.1,41.2,54.5
1994,Goa,0.99,-0.234,-0.214,0.436,97.0,2.59,5.8,46.9,19.4,88.5,31.9,29.6,37.6
1995,Bihar,-0.9,0.107,-0.424,0.0,109.8,2.38,0.0,81.9,38.1,82.5,42.1,38.0,32.8
1995,Jharkhand,1.18,-0.474,0.046,0.65,96.2,2.33,10.0,39.5,32.1,81.7,45.3,37.5,51.6
1995,Odisha,0.18,0.277,0.045,0.306,100.1,2.5,1.5,61.1,29.8,95.0,49.4,38.1,36.7
1995,Chhattisgarh,-0.81,-0.212,0.173,0.247,103.9,2.29,6.8,70.1,26.8,83.9,43.5,37.0,33.8
